Lon Lat Los(m) wt E N U
-117.772083 35.645417 0.087826 1.000000 -0.622614 -0.111269 0.774578
-117.772083 35.627639 0.070679 1.000000 -0.622344 -0.111252 0.774798
-117.772083 35.609861 0.053445 1.000000 -0.622075 -0.111234 0.775016
-117.772083 35.592083 0.043033 1.000000 -0.621808 -0.111217 0.775232
-117.772083 35.574306 0.026833 1.000000 -0.621543 -0.111201 0.775447
-117.754306 35.947639 0.043223 1.000000 -0.628552 -0.111681 0.769708
-117.754306 35.929861 0.059502 1.000000 -0.628251 -0.111659 0.769957
-117.754306 35.912083 0.101361 1.000000 -0.627972 -0.111641 0.770187
-117.754306 35.894306 0.229325 1.000000 -0.627751 -0.111633 0.770368
-117.754306 35.876528 0.403046 1.000000 -0.627501 -0.111620 0.770573
-117.754306 35.858750 0.481507 1.000000 -0.627203 -0.111598 0.770820
-117.754306 35.840972 0.503606 1.000000 -0.626910 -0.111577 0.771060
-117.754306 35.823194 0.470146 1.000000 -0.626606 -0.111555 0.771311
-117.754306 35.805417 0.436021 1.000000 -0.626327 -0.111536 0.771540
-117.754306 35.787639 0.385953 1.000000 -0.626052 -0.111519 0.771766
-117.754306 35.769861 0.329359 1.000000 -0.625780 -0.111501 0.771989
-117.754306 35.752083 0.277541 1.000000 -0.625504 -0.111483 0.772215
-117.754306 35.734306 0.236013 1.000000 -0.625230 -0.111465 0.772440
-117.754306 35.716528 0.199733 1.000000 -0.624959 -0.111448 0.772661
-117.754306 35.698750 0.160000 1.000000 -0.624691 -0.111431 0.772880
-117.754306 35.680972 0.134759 1.000000 -0.624425 -0.111415 0.773098
-117.754306 35.663194 0.121352 1.000000 -0.624157 -0.111398 0.773316
-117.754306 35.645417 0.099669 1.000000 -0.623888 -0.111381 0.773536
-117.754306 35.627639 0.080995 1.000000 -0.623619 -0.111364 0.773755
-117.754306 35.609861 0.059225 1.000000 -0.623352 -0.111347 0.773973
-117.754306 35.592083 0.043815 1.000000 -0.623088 -0.111331 0.774188
-117.754306 35.574306 0.026560 1.000000 -0.622824 -0.111314 0.774402
-117.736528 35.947639 0.016870 1.000000 -0.629792 -0.111784 0.768679
-117.736528 35.929861 0.010405 1.000000 -0.629505 -0.111764 0.768916
-117.736528 35.912083 0.047714 1.000000 -0.629228 -0.111747 0.769146
-117.736528 35.894306 0.199323 1.000000 -0.628981 -0.111734 0.769349
-117.736528 35.876528 0.480116 1.000000 -0.628754 -0.111725 0.769536
