Lon Lat Los(m) wt E N U
-117.647639 35.592083 -0.118144 1.000000 0.635104 -0.112352 0.764212
-117.647639 35.574306 -0.075300 1.000000 0.634876 -0.112343 0.764403
-117.647639 35.556528 -0.044699 1.000000 0.634706 -0.112345 0.764543
-117.647639 35.538750 -0.023343 1.000000 0.634489 -0.112338 0.764725
-117.629861 35.912083 0.054777 1.000000 0.638703 -0.112527 0.761181
-117.629861 35.894306 0.077177 1.000000 0.638414 -0.112509 0.761426
-117.629861 35.876528 0.114555 1.000000 0.638122 -0.112490 0.761673
-117.629861 35.858750 0.190966 1.000000 0.637835 -0.112471 0.761917
-117.629861 35.840972 0.316714 1.000000 0.637550 -0.112453 0.762158
-117.629861 35.823194 0.360470 1.000000 0.637270 -0.112436 0.762394
-117.629861 35.805417 -0.680101 1.000000 0.636996 -0.112420 0.762626
-117.629861 35.787639 -0.716476 1.000000 0.636730 -0.112405 0.762850
-117.629861 35.769861 -0.620180 1.000000 0.636466 -0.112391 0.763072
-117.629861 35.752083 -0.545125 1.000000 0.636202 -0.112376 0.763295
-117.629861 35.734306 -0.541228 1.000000 0.635937 -0.112362 0.763517
-117.629861 35.716528 -0.428961 1.000000 0.635673 -0.112347 0.763740
-117.629861 35.698750 -0.341035 1.000000 0.635410 -0.112332 0.763961
-117.629861 35.680972 -0.303020 1.000000 0.635152 -0.112319 0.764177
-117.629861 35.663194 -0.276323 1.000000 0.634898 -0.112306 0.764390
-117.629861 35.645417 -0.263360 1.000000 0.634633 -0.112291 0.764612
-117.629861 35.627639 -0.235488 1.000000 0.634369 -0.112276 0.764834
-117.629861 35.609861 -0.187982 1.000000 0.634117 -0.112263 0.765044
-117.629861 35.592083 -0.123470 1.000000 0.633878 -0.112252 0.765244
-117.629861 35.574306 -0.075062 1.000000 0.633649 -0.112243 0.765435
-117.629861 35.556528 -0.048740 1.000000 0.633465 -0.112242 0.765587
-117.629861 35.538750 -0.024704 1.000000 0.633249 -0.112236 0.765767
-117.612083 35.912083 0.060543 1.000000 0.637516 -0.112437 0.762189
