# Name lon lat v_east v_north v_up e_east e_north e_up 
P304 239.64339999999999 36.739 -0.00657 0.00188 0.00074 1.0 1.0 1.732 
P305 239.8032 37.3522 -0.008 0.0021 -0.00638 1.0 1.0 1.732 
P306 239.3555 37.7952 -0.00674 0.00161 0.00042 1.0 1.0 1.732 
P307 239.94209999999998 36.9473 -0.00862 0.00276 -0.00534 1.0 1.0 1.732 
P308 240.15980000000002 37.9012 -0.0059 0.00157 0.00733 1.0 1.0 1.732 
P311 241.4802 37.1776 -0.00542 -0.00152 -0.00101 1.0 1.0 1.732 
P463 242.83530000000002 36.0225 0.0144 -0.02342 0.00313 1.0 1.0 1.732 
P464 242.59 36.159 -0.0235 -0.09248 0.01692 1.0 1.0 1.732 
P465 241.86759999999998 36.4668 -0.00836 -0.00751 0.00624 1.0 1.0 1.732 
P466 242.2105 36.5312 -0.00345 -0.02352 0.00377 1.0 1.0 1.732 
P467 241.9094 36.5702 -0.00673 -0.00948 0.00577 1.0 1.0 1.732 
P468 241.8816 36.9757 -0.00437 -0.00471 -0.00442 1.0 1.0 1.732 
P469 242.0642 37.2314 -0.00593 -0.00448 0.00292 1.0 1.0 1.732 
P470 242.6061 34.4624 -0.00488 0.00731 0.00187 1.0 1.0 1.732 
P471 242.4591 33.5621 -0.00543 0.00279 0.00186 1.0 1.0 1.732 
P474 242.75130000000001 33.3552 -0.00494 0.00336 -0.00064 1.0 1.0 1.732 
P476 242.81029999999998 33.4396 -0.00507 0.00354 -0.00328 1.0 1.0 1.732 
P477 242.8866 33.5028 -0.00544 0.00351 -0.00775 1.0 1.0 1.732 
P478 242.9284 33.2357 -0.00575 0.00336 -0.00209 1.0 1.0 1.732 
P479 243.21710000000002 33.4933 -0.00737 0.00204 -0.00343 1.0 1.0 1.732 
P482 243.3286 33.2402 -0.00679 0.00443 0.00388 1.0 1.0 1.732 
P483 243.4307 33.0592 -0.00413 0.0024 0.00238 1.0 1.0 1.732 
P484 243.3792 33.3756 -0.00543 0.00267 -0.00127 1.0 1.0 1.732 
P485 243.591 33.2102 -0.00617 0.0048 0.00489 1.0 1.0 1.732 
P486 243.67770000000002 33.2602 -0.00536 0.00098 0.00111 1.0 1.0 1.732 
P487 243.8169 33.2135 -0.0049 0.00165 -0.00606 1.0 1.0 1.732 
P488 243.9212 33.201 -0.00679 0.00255 0.0004 1.0 1.0 1.732 
P489 243.8884 33.2962 -0.00546 0.00063 -0.00039 1.0 1.0 1.732 
P490 243.5741 33.5235 -0.00453 0.00218 -0.00181 1.0 1.0 1.732 
P491 243.7732 33.5747 -0.00431 0.00244 -0.00296 1.0 1.0 1.732 
P495 244.3716 33.045 -0.00534 0.00239 0.00357 1.0 1.0 1.732 
P505 244.313 33.4239 -0.00503 0.00095 0.00065 1.0 1.0 1.732 
P506 244.4898 33.0814 -0.00528 -0.00045 0.00067 1.0 1.0 1.732 
P507 244.38760000000002 33.2 -0.00583 0.00015 0.00579 1.0 1.0 1.732 
P508 244.5713 33.2478 -0.00498 0.00034 -0.00376 1.0 1.0 1.732 
P510 244.6567 33.1436 -0.00662 0.00063 -0.00793 1.0 1.0 1.732 
P511 244.7039 33.8869 -0.00467 0.00189 -0.0012 1.0 1.0 1.732 
P512 240.3056 37.5626 -0.00401 -0.00036 -0.00134 1.0 1.0 1.732 
P513 239.34980000000002 34.9073 -0.00737 0.00081 -0.00069 1.0 1.0 1.732 
P514 239.5903 35.0107 -0.00746 0.00168 0.00246 1.0 1.0 1.732 
P515 239.7602 34.8706 -0.00827 0.00041 -0.00084 1.0 1.0 1.732 
P516 239.6166 35.1062 -0.00728 0.00056 0.00844 1.0 1.0 1.732 
P517 241.82240000000002 34.3764 -0.00538 0.00646 -0.0008 1.0 1.0 1.732 
P518 239.9247 35.02 -0.00761 0.00192 -0.00429 1.0 1.0 1.732 
P519 240.2076 34.5078 -0.00722 0.00155 -0.00078 1.0 1.0 1.732 
P520 240.3836 34.6305 -0.00624 0.00247 -0.00386 1.0 1.0 1.732 
P521 240.1846 34.8886 -0.00828 0.00086 -0.00126 1.0 1.0 1.732 
P523 239.1397 35.3044 -0.00614 0.00108 0.00287 1.0 1.0 1.732 
P525 239.1919 35.4258 -0.00626 0.00045 0.00058 1.0 1.0 1.732 
P526 239.1303 35.636 -0.00674 0.00034 0.00114 1.0 1.0 1.732 
P527 239.3952 35.7541 -0.00868 0.00088 0.00307 1.0 1.0 1.732 
P528 239.4546 35.3278 -0.00756 0.00093 -5e-05 1.0 1.0 1.732 
P529 239.6462 35.4405 -0.00772 0.00159 0.00292 1.0 1.0 1.732 
P530 239.5196 35.6248 -0.00823 -0.00053 0.00458 1.0 1.0 1.732 
P531 239.46339999999998 35.7927 -0.00776 0.00108 0.00721 1.0 1.0 1.732 
P532 239.733 35.6338 -0.00732 0.00148 0.0007 1.0 1.0 1.732 
P533 239.62900000000002 35.7479 -0.0059 0.00036 0.00375 1.0 1.0 1.732 
P535 239.8986 35.2351 -0.00758 0.00125 0.00485 1.0 1.0 1.732 
P536 239.975 35.2798 -0.00637 0.00132 -0.0028 1.0 1.0 1.732 
P537 240.06470000000002 35.3168 -0.00803 0.00016 -0.00082 1.0 1.0 1.732 
P538 239.8875 35.5342 -0.0082 0.00182 -0.00248 1.0 1.0 1.732 
P539 239.81799999999998 35.7027 -0.00798 0.00134 -0.00238 1.0 1.0 1.732 
P540 239.86939999999998 35.8013 -0.0103 0.00035 -0.00519 1.0 1.0 1.732 
P541 239.9993 35.6867 -0.00832 0.00131 0.0035 1.0 1.0 1.732 
P542 239.7074 35.6889 -0.00796 0.00047 0.0013 1.0 1.0 1.732 
P543 240.2868 35.319 -0.00959 0.00087 0.00959 1.0 1.0 1.732 
P544 240.262 35.7313 -0.00979 -0.00012 -0.00012 1.0 1.0 1.732 
P545 240.4642 35.4998 -0.01064 0.00103 -0.0019 1.0 1.0 1.732 
P546 239.8451 35.9279 -0.00814 0.0024 0.00135 1.0 1.0 1.732 
P547 240.0906 35.9347 -0.00946 0.00132 -0.00149 1.0 1.0 1.732 
P548 240.4961 34.4668 -0.00497 0.00205 0.00079 1.0 1.0 1.732 
P550 240.8854 34.6601 -0.00718 0.00179 0.00416 1.0 1.0 1.732 
P551 240.84539999999998 34.8562 -0.00955 0.00733 -0.00645 1.0 1.0 1.732 
P552 239.755 35.6867 -0.00582 0.00182 -0.00425 1.0 1.0 1.732 
P553 241.12099999999998 34.8351 -0.00655 0.00314 0.00558 1.0 1.0 1.732 
P554 241.152 34.7923 -0.00603 0.00553 0.00377 1.0 1.0 1.732 
P555 241.3306 34.695 -0.00852 0.00357 0.00459 1.0 1.0 1.732 
P556 241.4545 34.7711 -0.00593 0.00561 0.01274 1.0 1.0 1.732 
P557 241.3444 34.9444 -0.00766 0.00372 -0.00028 1.0 1.0 1.732 
P558 241.38830000000002 35.1386 -0.00987 0.00217 -0.00502 1.0 1.0 1.732 
P560 241.4591 34.8218 -0.00651 0.0061 -0.00345 1.0 1.0 1.732 
P561 241.6009 34.6185 -0.00447 0.0077 -0.03134 1.0 1.0 1.732 
P563 240.5788 35.4187 -0.01059 0.00235 0.00555 1.0 1.0 1.732 
P564 240.6506 35.6229 -0.01275 0.00137 -0.00514 1.0 1.0 1.732 
P565 240.76330000000002 35.7439 -0.01189 0.00093 -0.00493 1.0 1.0 1.732 
P566 240.7707 36.3245 -0.00892 0.00236 -0.00042 1.0 1.0 1.732 
P567 241.2464 35.4209 -0.01552 0.0008 -0.00024 1.0 1.0 1.732 
P568 241.8735 35.2543 -0.01013 0.01237 -0.00089 1.0 1.0 1.732 
P569 241.87619999999998 35.378 -0.01597 0.01209 0.00736 1.0 1.0 1.732 
P570 241.74 35.6673 -0.05173 0.00054 -0.00576 1.0 1.0 1.732 
P572 241.0454 36.5855 -0.01084 0.00242 0.00154 1.0 1.0 1.732 
P573 241.73950000000002 36.0931 -0.03435 0.00808 0.00245 1.0 1.0 1.732 
P574 242.36610000000002 34.2868 -0.00667 0.00764 -0.00045 1.0 1.0 1.732 
P575 242.45780000000002 34.2155 -0.00479 0.00696 -0.00028 1.0 1.0 1.732 
P576 239.03 35.6697 -0.0082 0.00017 0.00624 1.0 1.0 1.732 
P577 242.68110000000001 34.3046 -0.00485 0.00483 0.00213 1.0 1.0 1.732 
P578 239.761 35.6943 -0.00703 0.00266 -0.00537 1.0 1.0 1.732 
P579 241.9942 35.0388 -0.00279 0.01738 0.00234 1.0 1.0 1.732 
